"id","name","year","rank"
328447,"Terribile terremoto di Calabria e di Sicilia, Il",1909,
328448,"Terribili sette, I",1963,
328449,Terribilita,1997,
328450,"Terrible 'Tec, The",1916,
328451,"Terrible Beauty, A",1960,5.7
328452,"Terrible catastrophe de Remicourt, La",1896,
328453,"Terrible de Chicago, El",1967,
328454,"Terrible Discovery, A",1911,
328455,"Terrible gigante de las nieves, El",1962,
328456,"Terrible Hyderabad Floods, The",1908,
328457,Terrible Jim Fitch,1971,
328458,Terrible Joe Moran,1984,
328459,Terrible Kate,1917,
328460,"Terrible Kids, The",1906,
328461,Terrible Kisses,2004,
328462,"Terrible leccin, La",1927,
328463,"Terrible Lesson, A",1912,
328464,"Terrible Night, A",1900,
328465,"Terrible Night, A",1913,
328466,"Terrible One, The",1915,
328467,"Terrible People, The",1928,
328468,Terrible percance a un enamorado en el cementerio de Dolores,1899,
328469,Terrible pesadilla,1931,
328470,"Terrible Railway Accident, The",1896,
328471,"Terrible Scrap of Paper, The",1914,
328472,"Terrible Secret, The",1979,
328473,"Terrible Spill, A",1898,
328474,Terrible Ted,1907,
328475,"Terrible Teddy, the Grizzly King",1901,4.0
328477,Terrible Things My Mother Told Me,1988,
328478,"Terrible Tiger, A",1987,
328479,"Terrible Time, A",1921,
328480,"Terrible toreador, El",1929,5.2
328481,"Terrible Tragedy, A",1916,
328482,"Terrible Tree, The",1923,
328483,"Terrible Troubador, The",1933,
328484,"Terrible Truth, The",1915,
328485,"Terrible Truth, The",1951,3.8
328486,"Terrible Two - A.B.S., The",1915,
328487,"Terrible Two Abroad, The",1915,
328488,"Terrible Two Had, The",1915,
328489,"Terrible Twos and the Trusting Threes, The",1951,
328490,Terribly Stuck Up,1915,
328491,Terribol dobol,1974,
328492,"Terriens, Les",2000,6.6
328493,Terrier-Stricken,1952,7.5
328494,Terrified,1962,4.1
328495,Terrified,1996,3.4
328496,Terrifying Tales,1989,
328497,"Territoire des autres, Le",1970,
328498,"Territoire du comdien, Le",2000,
328499,"Territoires de la dfonce, Les",1986,
328500,Territori d'ombra,2001,
328501,"Territorians, The",1996,
328502,Territories,1981,
328503,Territories,1985,
328504,Territorio,1999,
328505,Territorio Comanche,1997,7.0
328506,"Territorio de Ifni, El",1951,
328507,Territorio del hampa,1990,
328508,"Territorio extranjero, En",1992,
328509,Territorio sin ley,1984,
328510,Territorios marcados,2003,
328511,Territoriya,1979,
328512,"Territory, The",1981,7.4
328513,Terror,1915,
328514,Terror (1928/I),1928,
328515,Terror,1940,
328516,Terror,1977,4.9
328517,Terror,1979,4.1
328518,Terror 2000 - Intensivstation Deutschland,1992,5.9
328519,Terror Aboard,1933,
328520,Terror Among Us,1981,
328521,"Terror and the Terrier, The",1910,
328522,"Terror and the Time, The",1979,
328523,Terror at Alcatraz,1982,
328524,Terror at Black Falls,1962,
328525,Terror at Midnight,1956,
328526,Terror at Orgy Castle,1971,1.9
328527,Terror at Tate Manor,2002,
328528,Terror at Tenkiller,1986,2.7
328529,Terror by Night,1946,6.5
328530,Terror canbal,1981,2.9
328531,"Terror de la frontera, El",1963,
328532,Terror Desire,1971,
328533,Terror e xtase,1979,3.2
328534,Terror en el tren de medianoche,1980,
328535,Terror en la capilla mortuoria,1980,
328536,Terror en los barrios,1983,
328537,Terror Eyes,1989,2.8
328538,Terror Faces Magoo,1959,
328540,Terror from Space,1963,
328541,Terror from the Stars,1969,
328542,Terror from the Year 5000,1958,2.5
328543,"Terror Gauge, The",2003,
328545,Terror i Rock 'n' Roll nsjn,2001,
328546,Terror im Namen der Liebe,1997,
328547,Terror in a Texas Town,1958,6.5
328548,Terror in Beverly Hills,1991,3.1
328549,Terror in der Waage,1960,
328550,Terror in Moscow,2003,
328551,Terror in Paradise,1990,2.9
328552,Terror in Sutterville,1987,
328553,Terror in the Aisles,1984,5.3
328554,Terror in the City,1966,
328555,Terror in the Darkness,2003,
328556,Terror in the Family,1996,
328557,Terror in the Hot Tubs,1992,7.8
328559,Terror in the Mall,1998,
328560,Terror in the Night,1994,
328561,Terror in the Shadows,1995,
328562,Terror in the Sky,1971,
328563,Terror In the Swamp,1985,3.2
328564,Terror in the Wax Museum,1973,4.6
328565,Terror Is a Man,1959,4.8
328566,Terror Island,1920,
328567,Terror Mountain,1928,
328568,Terror Night,1987,
328570,Terror oder Aufbau,1933,
328571,"Terror of Bar X, The",1927,
328572,"Terror of Conscience, The",1913,
328573,Terror of Prehistoric Bloody Monster From Space,1998,1.0
328574,"Terror of Pueblo, The",1924,
328575,Terror of the Bloodhunters,1962,1.2
328576,"Terror of the Invisible Man, The",2001,
328577,"Terror of the Mountains, The",1915,
328578,"Terror of the Night, A",1914,
328579,Terror of the Plains,1934,
328580,Terror of the Range,1919,
328581,"Terror of the Tongs, The",1961,5.8
328582,"Terror of Tiny Town, The",1938,3.1
328583,"Terror of Twin Mountains, The",1915,
328584,Terror on Alcatraz,1986,4.8
328585,Terror on Highway 91,1989,
328586,Terror on Tape,1983,5.0
328587,Terror on the 40th Floor,1974,
328588,Terror on the Beach,1973,
328589,Terror on the Midway,1942,6.3
328590,Terror on the Titanic,1997,
328591,Terror On the Tracks,2001,
328592,Terror on Tiptoe,1936,
328593,Terror on Tour,1980,3.6
328594,Terror on Track 9,1992,
328595,Terror Out of the Sky,1978,
328596,Terror Peak,2003,
328597,Terror Ship,1954,
328598,Terror Squad,1987,4.3
328600,"Terror Streak, The",1921,
328601,Terror Toons,2002,
328602,Terror Toons 2: The Sick and Silly Show,2004,
328603,Terror Tract,2000,5.5
328604,Terror Trail,1921,
328605,Terror Trail,1933,
328606,Terror Trail,1946,3.8
328607,Terror Train,1980,5.0
328608,"Terror Within II, The",1990,3.0
328609,"Terror Within, The",1989,3.6
328610,Terror y encajes negros,1985,5.3
328611,Terror! Il castello delle donne maledette,1974,2.6
328612,Terror's Children,2003,
328613,"Terror, sexo y brujera",1989,
328614,"Terror, The",1917,
328615,"Terror, The",1920,
328616,"Terror, The",1926,
328617,"Terror, The (1928/II)",1928,
328618,"Terror, The",1938,5.9
328619,"Terror, The",1963,4.6
328620,Terrorama!,2001,5.5
328621,Terrorama! Three Years After,2004,
328622,"Terrore con gli occhi storti, Il",1972,
328623,"Terrore dei barbari, Il",1959,4.2
328624,"Terrore dei mantelli rosse, Il",1963,
328625,"Terrore dei mari, Il",1961,2.3
328626,"Terrore dell'Oklahoma, Il",1959,
328627,Terrore della maschera rossa,1960,
328628,Terrore nello spazio,1965,6.0
328629,Terrore sulla citt,1956,
328630,Terrorgram,1988,4.3
328631,Terrorism,2003,
328632,Terrorism: A World in Shadows,1997,
328633,Terrorism: Target USA,1989,
328634,Terrorismo em Angola,1961,
328635,Terrorist,1995,5.6
328636,Terrorist 2,1997,
328637,Terrorist on Trial: The United States vs. Salim Ajami,1988,
328638,"Terrorist, The",1999,7.3
328639,"Terrorista, El",1962,
328640,"Terrorista, El",1977,
328641,"Terrorista, Il",1963,5.8
328642,Terroristas,1987,
328643,"Terroristen!, Die",1992,6.1
328644,Terrorister - en film om dom dmda,2003,7.0
328645,Terroristka,1991,
328646,Terrorists,2004,
328647,"Terrorists, The",1961,
328649,"Terrornauts, The",1967,3.5
328650,Terrorns finger,1989,
328651,Terrors,1930,
328654,Terrors of a Turkish Bath,1916,
328655,Terrors of the Deep,1995,
328656,Terrors of the Jungle,1915,
328657,"Terrors of War, The",1917,
328658,Terrors on Horseback,1946,
328659,TerrorVision,1986,3.8
328660,Terry & Liz,2004,
328661,Terry and the Pirates,1940,
328662,Terry Eichler: Beyond Duc My,2000,
328663,"Terry Fox Story, The",1983,
328664,Terry of the 'Times',1930,
328665,Terry On the Fence,1985,
328666,"Terry Tate, Office Linebacker",2002,9.4
328667,"Terry Tate, Office Linebacker: Sensitivity Training",2004,6.4
328668,Terry the Claw,2001,
328669,Terry the Terror,1961,
328670,"Terry Whitmore, for Example",1969,
328671,Terry-Thomas,1963,
328672,Terryho dotocn,2004,
328673,Teru hi kumoru hi,1926,
328674,Teruel ha cado,1937,
328675,Teruel por la Repblica,1938,
328676,"Teruel, ciudad de los amantes",1963,
328677,Terug in de tijd met Kees de jongen,2003,
328678,Terug naar Oegstgeest,1987,5.3
328679,Terug naar Warschau,1965,
328680,Terug van het front,1971,
328681,"Terugkeek, De",2003,9.6
328682,"Terugtocht, De",1981,
328683,Tervahanhi,1975,
328684,Terveisi PC:st,2000,
328685,Tervetuloa aamukahville eli tottako toinen puoli,1952,
328686,"Terza et, La",1980,
328687,Terza ipotesi su un caso di perfetta strategia criminale,1972,
328688,Terza liceo,1954,
328689,"Terza luna, La",1997,
328691,"Terzo occhio, Il",1966,6.8
328692,"Terzo segreto di Fatima, Il",2001,
328693,Terzo e mondo,2001,
328694,"Teras da Bailarina Gorda, As",2000,
328695,Teseo contro il minotauro,1961,4.4
328696,Tesha,1928,
328697,Tesis,1996,7.5
328698,Teska noc,1983,
328699,Tesko je reci zbogom,1998,
328700,Tesla '76,1977,
328701,Tesla,1993,
328702,Tesla ili prilagodjavanje andjela,2001,
328703,Tesla: Master of Lightning,2000,
328704,Tesla: Time's Makin' Changes - The Videos & More,1995,
328705,Tesna koza,1982,7.5
328706,Tesna koza 2,1987,7.0
328707,Tesna koza 3,1988,7.1
328708,Tesna koza 4,1991,7.7
328709,Tesna koza 5,2005,
328710,"Tesori della Pilotta, I",1955,
328711,"Tesorito de Crispin, El",1990,
328712,Tesoro,1987,
328713,Tesoro artstico nacional,1937,
328714,"Tesoro de Atahualpa, El",1966,
328715,"Tesoro de Chucho el Roto, El",1960,
328716,"Tesoro de Clotilde, El",1994,
328717,Tesoro de Isla de Pinos,1958,
328719,"Tesoro de la isla de Robinson Crusoe, El",1999,
328720,"Tesoro de la isla Maciel, El",1941,
328721,"Tesoro de la muerte, El",1953,
328722,"Tesoro de las cuatro coronas, El",1983,2.7
328723,"Tesoro de Makuba, El",1967,
328724,Tesoro de mentiras,1963,
328725,"Tesoro de Moctezuma, El",1966,
328726,"Tesoro de Morgan, El",1971,
328727,"Tesoro de Pancho Villa, El",1935,
328728,"Tesoro de Pancho Villa, El",1957,
328729,"Tesoro del abismo, El",1997,
328730,"Tesoro del Bengala, Il",1954,
328731,"Tesoro del capitn Tornado, El",1967,
328732,"Tesoro del castillo, El",1964,
328733,"Tesoro del fiume, Il",1962,
328734,"Tesoro del indito, El",1961,
328735,"Tesoro del Pilar, El",2000,
328736,"Tesoro del rey Salomn, El",1963,
328737,"Tesoro del Yunque, El",2001,
328738,"Tesoro della foresta pietrificata, Il",1965,3.5
328739,"Tesoro di Montecristo, Il",1954,
328740,"Tesoro di Rommel, Il",1955,
328741,"Tesoro en el cielo, Un",1957,
328742,Tesoro mio,1979,
328743,Tesoro mo,2000,6.8
328744,"Tesoro, El",1988,
328745,"Tesoros artsticos del Himalaya, Los",1970,
328746,Tesoros de l'ermitage en Mxico,1976,
328747,Tesoros sin fronteras,2004,
328748,"Tesouro de Zapata, O",1968,
328749,Tesouro Perdido,1927,
328750,"Tesouro, O",1997,
328751,Tess,1979,7.1
328752,Tess of the D'Urbervilles,1913,
328753,Tess of the D'Urbervilles,1924,
328754,Tess of the D'Urbervilles,1998,
328755,Tess of the Storm Country,1914,
328756,Tess of the Storm Country,1922,7.7
328757,Tess of the Storm Country,1932,
328758,Tess of the Storm Country,1960,5.3
328759,Tessa,1992,
328760,"Tessa, a Gata",1982,
328761,Tessera hrysa koritsia,1968,
328762,"Tessera skalopatia, Ta",1951,
328763,"Tesseract, The",2003,4.5
328765,Tesseris nyfes ki enas gabros,1958,
328766,Tessie,1925,
328768,Tessri Gali,1958,
328769,Tessk engem elrabolni...,1980,
328770,Test '88,1989,
328771,Test,1976,
328772,Test,2000,7.0
328773,Test 0558,1965,
328774,Test Australia: The National IQ Test 2002,2002,
328775,Test Australia: The National IQ Test 2003,2003,
328776,Test Drive (2003/I),2003,
328778,Test Drive 6,2000,
328779,"Test for Love, A",1937,
328780,Test for the West: Berlin,1962,
328781,Test in Studio 1,1969,
328782,Test Irregular,2003,
328783,"Test of a Man, The",1915,
328784,"Test of Donald Norton, The",1926,
328785,"Test of Friendship, The",1908,
328786,"Test of Friendship, The",1911,
328787,"Test of Honor, The",1919,
328788,"Test of Love, A",1984,5.2
328789,"Test of Love, A",1999,
328790,"Test of Love, The",1914,
328791,"Test of Violence, A",1970,
328792,"Test of Will, A",1994,
328793,"Test of Womanhood, The",1917,
328794,Test Pilot,1938,6.8
328795,Test Pilot (1957/I),1957,
328796,Test Pilot,1989,
328797,Test Pilot Donald,1951,6.3
328798,Test pilota Pirksa,1979,5.2
328799,Test the Nation,2003,
328800,Test the Nation: The 2003 Test,2003,
328801,Test the Nation: The National 2002 Test,2002,
328802,Test the Nation: The National IQ Test 2002,2002,
328803,Test the Nation: The National IQ Test 2003,2003,
328804,Test the Nation: The National IQ Test 2004,2004,
328805,Test the Nation: The National Quiz,2003,
328806,Test the Nation: The National Relationship Test,2003,
328807,Test the Nation: The Popular Music Test,2004,
328808,Test Tube Babies,1951,
328809,Test Tube Teens from the Year 2000,1994,2.8
328810,"Test, Der",1964,
328811,"Test, Le",1987,
328812,"Test, The",1909,
328813,"Test, The",1911,
328814,"Test, The",1913,
328815,"Test, The (1914/I)",1914,
328816,"Test, The (1914/II)",1914,
328817,"Test, The",1915,
328818,"Test, The (1916/I)",1916,
328819,"Test, The (1916/II)",1916,
328820,"Test, The",1923,
328821,"Test, The",1926,
328822,"Test, The",1935,
328823,"Test, The (1961/I)",1961,
328824,"Test, The (1961/II)",1961,
328825,"Test, The",2001,
328826,Test. Coney Island Athletic Club (1899/I),1899,
328827,Test. Coney Island Athletic Club (1899/II),1899,
328828,Testa di rapa,1966,
328829,Testa di sbarco per otto implacabili,1967,
328830,"Testa in gi, gambe in aria",1972,
328831,Testa o croce,1969,
328832,Testa o croce,1982,3.8
328833,"Testa t'ammazzo, croce... sei morto... Mi chiamano Alleluja",1971,3.5
328834,Testadura,1983,
328835,"Testaferro, El",1999,
328836,Testament,1966,
328837,Testament (1974/II),1974,6.2
328838,Testament,1975,4.1
328839,Testament,1983,7.5
328840,Testament,1988,
328841,Testament,1991,
328842,Testament,1997,
328843,Testament,1999,
328844,"Testament d'Orphe, Le",1960,6.7
328846,"Testament des Cornelius Gulden, Das",1932,
328847,"Testament des Dr. Mabuse, Das",1933,7.5
328848,"Testament des Dr. Mabuse, Das",1962,4.3
328849,"Testament des Joe Sivers, Das",1924,
328850,"Testament du Docteur Cordelier, Le",1959,6.7
328851,"Testament du Dr. Mabuse, Le",1933,5.5
328852,"Testament of Franois Villon, The",1976,
328853,"Testament of John, The",1984,
328854,"Testament of Tom Jacoby, The",2001,
328855,Testament profesora Wilczura,1939,
328856,"Testament van Edgar Allan Poe: De doem van het bloed, Het",1975,
328857,Testament van Edgar Allan Poe: De grenzen van de dood,1974,
328858,"Testament van Edgar Allan Poe: De onrust van het graf, Het",1975,
328859,"Testament, Het",1978,
328860,Testamentet,1907,
328861,Testamentet,1967,
328862,Testamentet,1998,
328863,Testamento de un pueblo,1975,
328864,"Testamento del virrey, El",1944,
328865,"Testamento di Maciste, Il",1919,
328866,"Testamento do Senhor Napumoceno, O",1997,7.3
328867,"Testamento, El",1981,
328868,"Testamento, Il",1994,
328869,"Testaments: Of One Fold and One Shepherd, The",2000,8.2
328870,Testdrive,1997,
328871,Teste di cocco,2000,3.6
328872,Teste di cuoio,1981,
328873,Teste rasate,1993,3.0
328874,Tested,1996,
328875,Tested Berries,1973,
328876,Tested by Fire,1914,
328877,Tested by the Flag,1911,
328878,"Testemunha, A",1998,
328879,"Testemunhas No Condenam, As",1962,
328880,Testen - slikar zive samoce,1986,
328881,"Testfahrer, Der",1997,
328882,Testigo,2000,
328883,Testigo azul,1987,
328884,Testigo de un crimen,1987,
328885,Testigo para un crimen,1963,
328886,Testigo silencioso,1992,
328887,Testigos en cadena,1983,
328888,Testigos ocultos,2001,
328889,"Testigos, Los",1969,
328890,Testimone a rischio,1996,7.2
328891,"Testimone dello sposo, Il",1998,5.5
328892,"Testimone deve tacere, Il",1974,
328893,Testimone oculare,1973,
328894,Testimone oculare (1990/I),1990,
328895,"Testimone, Il",1946,7.0
328896,"Testimone, Il",1970,
328897,"Testimone, Il",2001,
328898,Testimonio de un grupo,1971,
328899,Testimonio mortal,1993,
328900,Testimonios de la revolucin,1986,
328901,Testimonios del petroleo,1988,
328902,Testimonios y documentos; Paro agrario,1975,
328903,Testimonios Zapatistas,1987,
328904,Testimony,1920,
328905,Testimony,1988,5.8
328906,Testimony of a Child,1989,
328907,"Testimony of Taliesin Jones, The",2000,6.5
328908,Testimony: 20 Years of Rock on MTV,2000,
328909,Testing a Rotary,1904,
328910,"Testing Block, The",1920,
328911,Testing Cans by Machinery,1901,
328912,Testing Dirty,1990,
328913,Testing Hams,1901,
328914,Testing Her Powers,1987,
328915,Testing His Courage,1911,
328916,Testing Horses,1901,
328917,Testing Jacks,1903,
328918,Testing Large Turbines,1904,2.8
328919,"Testing of Mildred Vane, The",1918,
328920,Testing the Limits,1998,5.8
328921,"Testing, One... Two...",2002,
328922,Testosterone,2003,4.6
328923,Testy,2003,
328924,Testy dlya nastojaschikh muzhchin,2000,
328925,"Testr, A",1918,
328926,Teso,1998,
328927,Teso de Tmida,1997,
328928,Tes,2003,7.3
328929,"Teta y la luna, La",1994,6.6
328930,Tetakawi,1980,
328931,Teteks - Tvornica vunenih tkanina Todor Cipovski-Merdza,1953,
328932,Tetemrehvs,1915,
328933,Teteng baliw,2002,
328934,Tetevenska 24,1984,
328935,Teticka,1941,
328936,Tetno Polskiego Manchestern,1930,
328937,Teto contra la migra,1988,
328938,Teto contra los narcos,1990,
328939,Tetori i kngve,1983,
328940,Tetorisu,1988,
328941,Tetovane casom,1976,
328942,Tetoviranje,1991,8.2
328943,Tetragono,1964,
328945,Tetri karavani,1963,
328946,Tetri kurdgeli,1984,
328947,Tetri mkhedari,1929,
328948,Tetri qalishvili,1962,
328949,Tetri qvebi,1973,
328950,Tetris,1985,
328951,Tetris,1986,
328952,Tetris (1989/I),1989,
328953,Tetris (1989/II),1989,
328954,Tetris (1989/III),1989,
328955,Tetris 2,1993,
328956,Tetris Attack,1995,
328957,Tetris DX,1998,
328958,Tetris Plus,1996,
328959,Tetris Worlds,2001,
328960,Tetris: From Russia with Love,2004,
328961,Tetrisphere,1997,
328962,Tetsujin niju-hachigo,2004,
328963,Tetsuo,1988,6.6
328964,Tetsuo II: Body Hammer,1992,6.1
328965,Tetsuwan Atom: Uch no ysha,1964,
328966,Tetsuwan Birdy,1996,
328967,Tetsuwan namida ari,1953,
328968,Tetsuwan toshu inao monogatari,1959,
328969,"Tett halla, A",2004,
328970,"Tettes ismeretlen, A",1957,
328971,Tetto Musashino-sen,1997,
328972,"Tetto, Il",1956,6.0
328973,Teu Tua,1979,
328974,Teuchi,1963,
328975,"Teufel am Hintern gekt, Den",1993,
328976,Teufel Eintritt,2000,
328977,"Teufel fhrt Regie, Der",1951,
328978,Teufel im Fleisch,1963,
328980,Teufel in Seide,1956,
328981,"Teufel ist los, Der",1961,
328983,"Teufel mit den drei goldenen Haaren, Der",1955,
328984,"Teufel spielte Balaleika, Der",1961,
328985,"Teufel und die Jungfrau, Der",1995,6.8
328986,"Teufel und die Madonna, Der",1919,
328987,"Teufel vom Mhlenberg, Der",1955,
328988,"Teufel von Rudow, Der",2004,
328989,Teufelchen,1921,
328990,"Teufels Advokat, Des",1977,4.2
328991,"Teufels General, Des",1955,7.1
328992,"Teufels General, Des",1997,
328993,"Teufels nackte Tochter, Des",1966,
328994,"Teufels Paradies, Des",1987,4.6
328995,"Teufelsanbeter, Die",1920,
328997,"Teufelsinsel, Die",1976,
328998,"Teufelskirche, Die",1919,
328999,"Teufelskreis, Der",1956,
329000,"Teufelsreporter, Der",1929,9.1
329001,"Teufelstaler, Der",1963,
329002,"Teufelswald, Der",1991,
329003,"Teufelsweib, Das",2000,
329004,"Teuflisch geiles Biest, Ein",1995,
329006,Teuflischer Engel,2000,
329007,Teuggong woinbudae,1973,
329008,Teugmyeong minyeogundan,1992,
329009,Teukbyeol susaban bakjwi,1977,
329010,Teukbyeol susabombu kisaeng Kim So-san,1973,
329011,Teukbyeol susabonbu Bae Tae-ok sageon,1974,
329012,Teukbyeol susabonbu Kim Su-imui ilsaeng,1974,
329013,Teukbyeol susabonbu wepali Kim Jong-won,1975,
329014,Teukbyeol susabonbu yeodaesaeng Lee Nan-hie sageon,1973,
329015,Teukgeub gyeolhonjakjeon,1966,
329016,Teukgongdaewa dolaoji anhneun haebyeong,1970,
329017,Teukmyeong 8ho,1978,
329018,Teus Olhos Castanhos,1961,
329019,"Teutonen kommen, Die",1962,
329020,Tevde Sodun Bola,1974,
329021,Tevya,1939,6.8
329022,Tevya und seine Tchter,1962,
329023,Tewaterlating van 's.s. Roi Albert' op de werf van The Antwerp Engineering Co in Hoboken,1911,
329024,Tex,1926,
329025,Tex,1982,6.3
329026,"Tex Granger, Midnight Rider of the Plains",1948,
329027,Tex Murphy: Overseer,1998,
329028,Tex Rides with the Boy Scouts,1937,
329029,Tex Takes a Holiday,1932,
329030,Tex Willer e il signore degli abissi,1985,3.4
329031,Tex Williams & Orchestra in Western Whoopee,1948,
329032,Tex Williams and His Western Caravan,1947,
329033,Tex Williams' Western Varieties,1951,
329035,Texaco Presents Bob Hope in a Very Special Special: On the Road with Bing,1977,
329036,Texan,1994,
329037,"Texan Meets Calamity Jane, The",1950,
329038,Texan Twins,1912,
329039,"Texan's Honor, A",1929,
329040,"Texan, The",1920,
329041,"Texan, The",1930,
329042,"Texan, The",1932,
329043,Texana cien X #2,1998,
329044,Texana cien X #3,1999,
329045,Texana cien X #4,2000,
329046,Texana cien X #5,2000,
329047,Texana cien X,1997,
329048,"Texana maldita, La",2000,
329049,"Texano y el potosino, El",2002,
329050,"Texano, El",1965,
329051,Texans Never Cry,1951,5.8
329052,"Texans, The",1938,5.4
329053,Texarkana,1998,
329054,Texas,1922,
329055,Texas,1941,7.3
329056,Texas,1952,
329057,Texas,1977,
329058,Texas,1994,
329059,Texas,2002,7.2
329060,Texas - Doc Snyder hlt die Welt in Atem,1993,5.0
329061,Texas - Kabul,2004,
329062,Texas 46,2002,5.2
329063,Texas Across the River,1966,6.0
329064,Texas and the Death Penalty,1997,
329065,Texas Bad Man,1953,
329066,"Texas Bad Man, The",1932,
329067,Texas Battler,1929,
329068,"Texas Bearcat, The",1925,
329069,Texas Bill's Last Ride,1914,
329070,Texas Boogie Woogie,2003,
329071,Texas Buddies,1932,
329072,Texas Carnival,1951,5.7
329079,Texas City,1952,
329081,"Texas Cowboy, A",1929,
329083,Texas Cyclone,1932,3.4
329084,Texas Daybreak,1999,
329085,Texas Detour,1978,3.6
329086,Texas Dynamo,1950,
329087,Texas Flash,1928,
329088,"Texas Funeral, A",1999,6.6
329089,Texas Graces,1996,
329090,Texas Gun Fighter,1932,
329091,Texas Home,1945,
329092,Texas Hotel,1999,
329093,Texas Jack,1935,
329094,Texas Justice,1995,
329095,Texas Kelly at Bay,1913,
329096,"Texas Kid, The",1920,
329097,"Texas Kid, The",1943,
329098,Texas Lady,1955,4.9
329099,Texas Lawmen,1951,
329101,Texas Man Hunt,1942,
329102,"Texas Marshal, The",1941,
329103,Texas Masquerade,1944,6.6
329104,"Texas n'existe pas, Le",2005,
329105,Texas Night Train,2001,
329106,Texas Panhandle,1945,
329107,Texas Paris,2001,
329108,Texas Payback,1994,6.2
329109,Texas Pioneers,1932,
329111,"Texas Rambler, The",1935,
329112,"Texas Ranger, The",1931,
329113,Texas Rangers,2001,5.1
329114,Texas Rangers and Us,1968,
329115,"Texas Rangers Ride Again, The",1940,4.9
329116,"Texas Rangers, The",1936,7.1
329117,"Texas Rangers, The",1951,5.2
329118,"Texas Rangers, The",1981,
329119,Texas Renegades,1940,
329120,Texas Rifles,1944,
329122,Texas Snow-Line,1984,
329123,"Texas Sphinx, The",1917,
329124,Texas Stagecoach,1940,
329125,Texas Stampede,1939,
329126,"Texas Steer, A",1898,
329127,"Texas Steer, A",1915,
329128,"Texas Steer, A",1927,
329129,"Texas Streak, The",1926,
329130,Texas Style,1984,4.0
329131,Texas Tenor: The Illinois Jacquet Story,1992,
329132,Texas Terror,1935,4.5
329133,"Texas Terror, The",1926,
329134,Texas Terrors,1940,
329135,Texas to Bataan,1942,
329136,Texas Tom,1950,7.0
329137,Texas Tommy,1928,
329138,Texas Tornado,1932,
329139,"Texas Tornado, The",1928,
329140,Texas Tough Guy,1950,
329141,Texas Towers,1993,
329142,Texas Trail,1937,6.6
329143,"Texas Trail, The",1925,
329144,Texas Trouble Shooters,1942,
329145,Texas Twisters,1993,
329146,Texas Wildcats,1939,
329147,"Texas, addio",1966,5.4
329148,"Texas, Brooklyn and Heaven",1948,6.9
329149,Texas: Southside,1989,
329150,Texas: The Big Picture,2003,6.3
329151,Texasville,1990,5.4
329152,"Texican, The",1966,5.6
329153,"Text cu bucluc, Un",1976,
329155,Textiles,1956,
329156,Textiles,1975,
329157,Textiles and Ornamental Arts of India,1955,
329158,"Textiles, Les",2004,5.2
329159,"Texture of Time, The",2003,
329160,Teyzem,1987,7.8
329161,Tezaab,1988,7.2
329162,Tezak put,1973,
329163,Tezhvzhik,1962,
329164,Tezk zivot dobrodruha,1941,7.8
329165,Tghamardik,1973,8.0
329166,Tgoova Meuheret,2004,
329167,TGV,1998,6.1
329168,Tha figo?,1993,
329169,Tha kano petra tin kardia mou,1968,
329171,Tha se kano vasilissa,1964,7.9
329172,"Tha se klepso, m' akous",1983,
329173,Tha ta kapso ta lefta mou,1968,
329174,Tha to metaniossis,2002,6.5
329175,Tha to pareis to koritsi,1989,
329176,Tha ziso gia sena,1965,
329177,Thaala,1988,
329178,Thaalaattu,1993,
329179,Thaalaattu Kekkuthamma,1991,
329180,Thaalaattu Paadava,1990,
329181,Thaalam,1990,
329182,Thaalam Manasinte Thaalam,1981,
329183,Thaalam Thettiya Tharattu,1983,
329184,Thaalappoly,1977,
329185,Thaali,1993,
329186,Thaamb Lakshmi Kunku Lavatey,1967,
329187,Thaaravu,1981,
329188,Thaayamma,1991,
329189,Thaazhamboo,2003,
329190,Thachali Marumakan Chandu,1974,
329191,Thachiledathu Chundan,1999,
329192,Thacholi Othenan,1964,
329193,Thacholy Ambu,1978,
329194,Thacholy Thankappan,1984,
329195,Thadakom,1982,
329196,Thadangal Paalayam,1984,
329197,Thadavara,1981,
329198,Thaddeus Fights the Power!,2003,
329199,Thaddeus Rose and Eddie,1978,
329200,Thagini,1974,
329201,Thai Illamal Naan Illai,1979,
329202,Thai Karulu,1962,
329204,Thai Mookambhikai,1982,
329205,Thai Mozhi,1992,
329206,Thai Saheba,1997,
329207,Thai-Fotzen,1995,
329208,Thaikku Thalaimagan,1967,
329209,Thaiku Oru Thalattu,1986,
329210,Thailand,1975,
329211,"Thaim, la hija del pescador",1960,
329212,Thais,1914,
329213,Thais,1916,
329214,Thais,1917,
329215,Thais,1984,3.8
329216,"Thais, La",1921,
329217,Thakara,1980,
329218,Thakas Mahathak,1984,
329219,Thakicha Lagna,1935,
329220,Thakilu Kottampuram,1981,
329221,Thakshak,1999,6.8
329222,Thakshasila,1995,
329223,Thakur Jarnail Singh,1966,
329224,Thalaimurai,1998,
329225,Thalamura,1993,
329226,Thalamurakulude Prathikaram,1986,
329231,Thalastaanam,1992,
329232,Thalatha ala ettarik,1992,4.5
329233,Thalavattam,1986,
329234,Thalayanai Mandhiram,1984,
329235,Thalayanamanthram,1990,
329236,Thali Bhagyam,1966,
329237,Thalia,1997,
329238,Thalia unter Trmmern - Das Theater der Nachkriegszeit in Berlin,1982,
329239,"Thalians, The",1932,
329240,Thaliritta Kinakkal,1980,
